,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170310,3751240.0,2754.0,1362.1060275962236,7449204.0,2562.0,2907.5737704918033,2149294.0,1693.0,1269.5180153573538,1601946.0,1061.0,1509.8454288407163,4641647.0,1419.0,3271.0690627202257,2807557.0,1143.0,2456.305336832896,5898307.0,1748.0,3374.3175057208236,1550897.0,814.0,1905.2788697788699,2283373.0,1792.0,1274.2036830357142,1467867.0,962.0,1525.8492723492723
20170313,4625624.0,2338.0,1978.453378956373,4629108.0,1958.0,2364.2022471910113,1327604.0,838.0,1584.252983293556,3298020.0,1500.0,2198.68,1576301.0,613.0,2571.453507340946,3052807.0,1345.0,2269.7449814126394,1816900.0,691.0,2629.3777134587554,2812208.0,1267.0,2219.5801104972375,1299200.0,809.0,1605.9332509270705,3326424.0,1529.0,2175.555264879006
20170314,3750839.0,2347.0,1598.1418832552195,5990469.0,2680.0,2235.2496268656714,2381504.0,1585.0,1502.5261829652998,1369335.0,762.0,1797.0275590551182,4117727.0,1745.0,2359.7289398280805,1872742.0,935.0,2002.9326203208557,4449935.0,1694.0,2626.880165289256,1540534.0,986.0,1562.4077079107506,2152919.0,1428.0,1507.6463585434174,1597920.0,919.0,1738.759521218716
20170315,3327362.0,2489.0,1336.8268380875854,6540795.0,2588.0,2527.3551004636784,2733805.0,2044.0,1337.4779843444228,593557.0,445.0,1333.8359550561797,5673052.0,2140.0,2650.958878504673,867743.0,448.0,1936.9263392857142,4625031.0,1550.0,2983.8909677419356,1915764.0,1038.0,1845.6300578034682,1780981.0,1409.0,1264.0035486160398,1546381.0,1080.0,1431.8342592592592
20170316,4146687.0,2314.0,1791.9995678478824,4356993.0,2584.0,1686.142801857585,2015050.0,1307.0,1541.7368018362663,2131637.0,1007.0,2116.819265143992,2233024.0,1380.0,1618.1333333333334,2123969.0,1204.0,1764.093853820598,2293151.0,1334.0,1719.0037481259371,2063842.0,1250.0,1651.0736,1706119.0,1150.0,1483.5817391304347,2440568.0,1164.0,2096.7079037800686
20170317,3150464.0,2106.0,1495.9468186134852,7071649.0,4095.0,1726.8984126984126,921177.0,829.0,1111.1905910735827,2229287.0,1277.0,1745.7220046985121,2847256.0,1687.0,1687.7628927089509,4224393.0,2408.0,1754.3160299003323,5780154.0,3000.0,1926.718,1291495.0,1095.0,1179.447488584475,2095571.0,1602.0,1308.0967540574281,1054893.0,504.0,2093.0416666666665
20170320,4061244.0,2759.0,1471.9985501993476,6319286.0,2007.0,3148.6228201295467,3575044.0,2392.0,1494.5836120401339,486200.0,367.0,1324.7956403269754,5221686.0,1612.0,3239.2593052109182,1097600.0,395.0,2778.73417721519,4686201.0,1391.0,3368.9439252336447,1633085.0,616.0,2651.112012987013,1901478.0,1547.0,1229.1389786683903,2159766.0,1212.0,1781.9851485148515
20170321,2691881.0,1592.0,1690.8800251256282,3703962.0,1601.0,2313.530293566521,1435018.0,997.0,1439.3360080240723,1256863.0,595.0,2112.374789915966,2415276.0,1022.0,2363.283757338552,1288686.0,579.0,2225.7098445595857,2309778.0,925.0,2497.0572972972973,1394184.0,676.0,2062.402366863905,1184269.0,842.0,1406.4952494061758,1507612.0,750.0,2010.1493333333333
20170322,3864448.0,2990.0,1292.457525083612,7634134.0,2520.0,3029.418253968254,2651277.0,2132.0,1243.563320825516,1213171.0,858.0,1413.9522144522145,5278000.0,1677.0,3147.2868217054265,2356134.0,843.0,2794.9395017793595,6185795.0,1786.0,3463.491041433371,1448339.0,734.0,1973.2138964577657,2271062.0,1967.0,1154.5815963396035,1593386.0,1023.0,1557.5620723362658
20170323,3805848.0,2352.0,1618.1326530612246,6198422.0,2101.0,2950.2246549262254,978718.0,683.0,1432.96925329429,2827130.0,1669.0,1693.9065308568004,1798706.0,536.0,3355.794776119403,4399716.0,1565.0,2811.3201277955272,4719119.0,1407.0,3354.0291400142146,1479303.0,694.0,2131.5605187319884,2020451.0,1464.0,1380.089480874317,1785397.0,888.0,2010.5822072072071
20170324,3269644.0,2115.0,1545.9309692671395,4286796.0,2053.0,2088.064296151973,2025084.0,1312.0,1543.5091463414635,1244560.0,803.0,1549.8879202988792,3128948.0,1441.0,2171.3726578764745,1157848.0,612.0,1891.9084967320262,2531806.0,1095.0,2312.151598173516,1754990.0,958.0,1831.9311064718163,1563422.0,1088.0,1436.96875,1706222.0,1027.0,1661.365141187926
20170327,5398172.0,2744.0,1967.2638483965015,6522936.0,2825.0,2309.00389380531,1938323.0,1292.0,1500.25,3459849.0,1452.0,2382.8161157024792,3074388.0,1154.0,2664.1143847487,3448548.0,1671.0,2063.763016157989,4296404.0,1477.0,2908.872037914692,2226532.0,1348.0,1651.7299703264096,2127033.0,1384.0,1536.8735549132948,3271139.0,1360.0,2405.2492647058825
20170328,1745184.0,1486.0,1174.4172274562584,4392322.0,1701.0,2582.1998824221046,1042256.0,886.0,1176.3611738148984,702928.0,600.0,1171.5466666666666,2938019.0,1030.0,2852.445631067961,1454303.0,671.0,2167.366616989568,3169218.0,1065.0,2975.7915492957745,1223104.0,636.0,1923.119496855346,1047345.0,963.0,1087.5856697819315,697839.0,523.0,1334.3001912045888
20170329,3061901.0,2233.0,1371.205105239588,5486564.0,2015.0,2722.860545905707,2576313.0,1858.0,1386.6054897739505,485588.0,375.0,1294.9013333333332,4355586.0,1559.0,2793.833226427197,1130978.0,456.0,2480.214912280702,4193011.0,1317.0,3183.759301442673,1293553.0,698.0,1853.227793696275,1820624.0,1385.0,1314.529963898917,1241277.0,848.0,1463.7700471698113
20170330,3096270.0,2227.0,1390.3322855859901,5622741.0,2318.0,2425.68636755824,1599303.0,1290.0,1239.7697674418605,1496967.0,937.0,1597.6168623265742,3165566.0,1073.0,2950.201304753029,2457175.0,1245.0,1973.6345381526105,4325081.0,1571.0,2753.0751113940164,1297660.0,747.0,1737.1619812583667,1677243.0,1456.0,1151.95260989011,1419027.0,771.0,1840.5019455252918
20170331,9464014.0,3640.0,2600.003846153846,10030282.0,4788.0,2094.879281537176,4452514.0,1722.0,2585.664343786295,5011500.0,1918.0,2612.8779979144942,4786324.0,1895.0,2525.764643799472,5243958.0,2893.0,1812.6367092983062,4615080.0,2155.0,2141.568445475638,5415202.0,2633.0,2056.6661602734525,2697821.0,1382.0,1952.1136034732272,6766193.0,2258.0,2996.5425155004427
20170405,5236367.0,2474.0,2116.5590137429263,5000234.0,2364.0,2115.15820642978,921268.0,440.0,2093.7909090909093,4315099.0,2034.0,2121.484267453294,902096.0,363.0,2485.1129476584024,4098138.0,2001.0,2048.0449775112443,2646661.0,1020.0,2594.76568627451,2353573.0,1344.0,1751.170386904762,1856782.0,1136.0,1634.4911971830986,3379585.0,1338.0,2525.8482810164423
20170406,2733280.0,1787.0,1529.535534415221,4492902.0,2365.0,1899.7471458773784,2275480.0,1515.0,1501.96699669967,457800.0,272.0,1683.0882352941176,3912402.0,2056.0,1902.919260700389,580500.0,309.0,1878.6407766990292,3216693.0,1465.0,2195.694880546075,1276209.0,900.0,1418.01,1360283.0,990.0,1374.0232323232324,1372997.0,797.0,1722.706398996236
